label,feature1,feature2,feature3
1,0.32570741442534723,0.6294915446223843,0.2986406770764749
1,0.1936186901537772,0.686180075331102,0.8616096152791778
2,0.45781164889742754,0.2403825375227866,0.9058071953928739
0,0.9204025710930878,0.7879277879795397,0.7685832518477845
1,0.8790691615146757,0.8564774570595708,0.2612316407375056
0,0.2526157550465302,0.7277960155986192,0.9384555961966489
0,0.34800879286934616,0.6923451434159611,0.9386424555133467
0,0.18258873158030875,0.47235093907018477,0.7450445471078776
1,0.9017960513709921,0.8568729419345008,0.9107350428473103
2,0.7065281631717975,0.6647433339043061,0.23722470879453528
1,0.7266584615621408,0.3333759422753245,0.4949673521203938
0,0.9000878368097077,0.5181454992563133,0.8098783388099348
2,0.7791638007693242,0.39468858344517255,0.954565783825497
1,0.5991547806042924,0.03104959835636134,0.6374832545239696
0,0.29112524489787484,0.5768398431331209,0.9108497527256524
1,0.15139526440743212,0.8502517453488608,0.6921367511957678
2,0.3351746591494349,0.9514888651736451,0.042942989349085026
0,0.6575517771578194,0.6829787971082667,0.833586900687991
2,0.07334254363261816,0.07616254819602797,0.3699485159763737
1,0.05500639540622365,0.410077942772487,0.9365570009013318
1,0.32319481392117644,0.04190139877173671,0.48305287517652307
1,0.5904818044629861,0.17418683157537918,0.1253316071684213
1,0.8538985671256417,0.5654020055647535,0.9644541837597798
1,0.287062425000009,0.17289117059986037,0.01702583097601018
2,0.17306722681479214,0.5666104779444462,0.6765707650765702
0,0.13402120599884282,0.5140042529495411,0.140439966210832
2,0.9946538286442945,0.8688708875473768,0.1553128532832202
1,0.17949786946939184,0.7203472479309528,0.6495577470548793
2,0.31754682302719583,0.9035913470702983,0.9816542161384815
0,0.5682914046591072,0.2776149982333721,0.6948074153816085
1,0.00934857450024451,0.25666543218148796,0.7619738930361531
2,0.9006486211550919,0.6997032628614107,0.425209182802866
0,0.9772414309225871,0.9015688962489394,0.13889344396681091
2,0.5568946791368349,0.9836923251215781,0.21618630316008047
1,0.08477384339419014,0.640912812426245,0.7647002723992947
0,0.3330024657291001,0.33000738853521094,0.054605869154590536
0,0.728428676369672,0.6066752162291601,0.4901229891341178
0,0.14243537334181722,0.8221597885758906,0.18069018170516393
0,0.5524689394975455,0.6279650654611616,0.6309248464528918
1,0.2730432596836856,0.1179230575007103,0.5512420333566405
0,0.9744951380872597,0.2858776733511563,0.56708121448378
1,0.6677869061450377,0.9867472153378646,0.8183449753362828
0,0.25565328643413965,0.43180084849092437,0.9389873038064919
2,0.10831149418272878,0.5742344137830644,0.1929014148643482
2,0.7761807231738822,0.5272420766742302,0.7128440242924551
0,0.782477992600202,0.1976530493775127,0.6979398042405625
2,0.7616039143074941,0.1657084322248341,0.2582964987037648
2,0.9144031132693238,0.5009904579221985,0.9158078195673033
2,0.6586227819424226,0.9902040600853143,0.532358186577165
2,0.5683675815729324,0.3939918113086468,0.5579644194083464
0,0.2017556924529783,0.7140132652766149,0.32277226816514915
